,Book Value (in ?),Earnings Per Share (in ?),Employee Cost,Equity Dividend (%),Interest,Net Sales,Operating Profit,Other Income,PBDT,Total Expenditure,Year,stock_ticker
2,26.75,7.40,272.90,225.00,1.80,"3,426.20","1,272.00",239.70,"1,270.20","2,393.90",MAR'15,zeel
3,20.32,7.96,217.30,200.00,7.20,"3,075.70","1,216.00",185.50,"1,208.80","2,045.20",MAR'14,zeel
4,35.14,6.72,184.80,200.00,1.30,"2,565.90",981.20,118.90,979.90,"1,703.60",MAR'13,zeel
0,249.25,54.45,368.63,"2,250.00","4,842.41","8,007.49","7,915.01",908.99,,"1,001.47",MAR'16,ibulhsgfin
1,182.51,55.64,279.28,"1,300.00","3,843.50","6,291.52","6,394.68",907.22,,804.06,MAR'15,ibulhsgfin
2,163.58,45.20,220.57,"1,450.00","3,232.25","5,253.86","5,140.69",474.82,,587.99,MAR'14,ibulhsgfin
3,154.34,39.29,203.62,"1,000.00","2,603.58","4,460.97","4,216.91",267.25,,511.31,MAR'13,ibulhsgfin
4,61.35,16.06,12.03,0.00,380.69,785.51,727.01,3.44,,61.94,MAR'12,ibulhsgfin
0,179.36,2.94,"1,698.06",100.00,"2,374.76","34,317.66","4,384.37","1,077.72","2,009.61","31,011.01",MAR'16,hindalco
1,180.30,4.48,"1,589.48",100.00,"1,641.83","34,525.03","4,303.47",932.22,"2,661.64","31,153.78",MAR'15,hindalco
2,177.83,6.84,"1,345.47",100.00,736.83,"27,850.93","3,641.48","1,498.73","2,904.65","25,708.18",MAR'14,hindalco
3,174.54,8.87,"1,200.80",140.00,538.22,"26,056.93","3,289.05","1,089.76","2,750.83","23,857.64",MAR'13,hindalco
4,164.41,11.68,"1,113.35",155.00,311.43,"26,596.78","3,738.35",764.13,"3,426.92","23,622.56",MAR'12,hindalco
0,323.44,69.56,"1,403.03",375.00,29.42,"12,753.15","4,574.59",88.47,"4,545.17","8,267.03",MAR'17,lupin
1,261.84,62.82,"1,218.09",375.00,24.11,"11,343.77","4,173.85",186.85,"4,149.74","7,356.77",MAR'16,lupin
2,199.59,53.33,"1,052.55",375.00,4.90,"9,752.47","3,553.88",180.63,"3,548.98","6,379.22",MAR'15,lupin
3,155.06,51.83,844.32,300.00,20.99,"8,939.38","3,327.71",415.38,"3,306.72","6,027.05",MAR'14,lupin
4,108.14,28.16,726.44,200.00,33.28,"7,122.51","1,907.23",23.31,"1,873.95","5,238.59",MAR'13,lupin
0,158.37,12.12,"1,728.97",100.00,39.20,"10,768.49","1,726.11",129.85,"1,686.91","9,172.23",MAR'17,cipla
1,148.08,18.20,"1,778.56",100.00,147.07,"11,950.69","2,333.73",280.30,"2,186.66","9,897.26",MAR'16,cipla
2,137.12,14.71,"1,499.63",100.00,136.05,"10,131.78","2,109.22",147.91,"1,973.17","8,170.47",MAR'15,cipla
3,125.31,17.29,"1,284.75",100.00,127.86,"9,456.90","2,269.81",280.28,"2,141.95","7,467.37",MAR'14,cipla
4,110.36,18.77,969.28,100.00,33.38,"8,202.42","2,348.27",229.13,"2,314.89","6,083.28",MAR'13,cipla
0,116.38,27.68,809.79,250.00,229.31,"9,166.18","2,632.36",183.32,"2,403.05","6,717.14",MAR'16,auropharma
1,183.55,51.93,668.75,450.00,132.14,"8,095.10","2,317.64",67.22,"2,185.50","5,844.68",MAR'15,auropharma
2,137.65,40.21,514.21,300.00,288.84,"7,110.71","1,994.27",74.80,"1,705.43","5,191.24",MAR'14,auropharma
3,100.93,17.03,431.42,150.00,250.06,"5,425.10",984.57,26.51,734.51,"4,467.04",MAR'13,auropharma
